WeekBeginning,Location,DateOfSample
2019-04-01,Belfast,2019-04-01
2019-04-01,Dundrum and Killough,2019-04-01
2019-04-01,Strangford,2019-04-01
2019-04-01,Larne,2019-04-02
2019-04-08,Belfast,2019-04-08
2019-04-08,Carlingford,2019-04-09
2019-04-08,Foyle ,2019-04-09
2019-04-15,Belfast,2019-04-15
2019-04-15,Dundrum and Killough,2019-04-15
2019-04-15,Strangford,2019-04-15
2019-04-15,Larne,2019-04-16
2019-04-22,Belfast,2019-04-24
2019-04-22,Carlingford,2019-04-24
2019-04-22,Foyle ,2019-04-24
2019-04-29,Belfast,2019-04-29
2019-04-29,Dundrum and Killough,2019-04-29
2019-04-29,Strangford,2019-04-29
2019-04-29,Larne,2019-04-30
2019-05-06,Belfast,2019-05-07
2019-05-06,Dundrum and Killough,2019-05-07
2019-05-06,Carlingford,2019-05-08
2019-05-13,Belfast,2019-05-13
2019-05-13,Strangford,2019-05-13
2019-05-13,Larne,2019-05-14
2019-05-13,Foyle ,2019-05-14
2019-05-20,Belfast,2019-05-20
2019-05-20,Dundrum and Killough,2019-05-20
2019-05-20,Carlingford,2019-05-21
2019-05-27,Belfast,2019-05-28
2019-05-27,Strangford,2019-05-28
2019-05-27,Carlingford,2019-05-29
2019-05-27,Foyle ,2019-05-29
2019-05-27,Larne,2019-05-29
2019-06-03,Belfast,2019-06-03
2019-06-03,Dundrum and Killough,2019-06-03
2019-06-03,Larne,2019-06-04
2019-06-10,Belfast,2019-06-10
2019-06-10,Carlingford,2019-06-11
2019-06-10,Foyle ,2019-06-11
2019-06-10,Strangford,2019-06-11
2019-06-17,Belfast,2019-06-17
2019-06-17,Dundrum and Killough,2019-06-17
2019-06-17,Strangford,2019-06-17
2019-06-17,Larne,2019-06-18
2019-06-24,Belfast,2019-06-24
2019-06-24,Carlingford,2019-06-25
2019-06-24,Foyle ,2019-06-25
2019-07-01,Belfast,2019-07-01
2019-07-01,Dundrum and Killough,2019-07-01
2019-07-01,Strangford,2019-07-01
2019-07-01,Larne,2019-07-02
2019-07-08,Belfast,2019-07-08
2019-07-08,Carlingford,2019-07-09
2019-07-08,Foyle ,2019-07-09
2019-07-15,Belfast,2019-07-16
2019-07-15,Dundrum and Killough,2019-07-16
2019-07-15,Strangford,2019-07-16
2019-07-15,Larne,2019-07-17
2019-07-22,Belfast,2019-07-22
2019-07-22,Carlingford,2019-07-23
2019-07-22,Foyle ,2019-07-23
2019-07-29,Belfast,2019-07-29
2019-07-29,Dundrum and Killough,2019-07-29
2019-07-29,Strangford,2019-07-29
2019-07-29,Larne,2019-07-30
2019-08-05,Belfast,2019-08-05
2019-08-05,Carlingford,2019-08-07
2019-08-12,Belfast,2019-08-12
2019-08-12,Dundrum and Killough,2019-08-12
2019-08-12,Strangford,2019-08-12
2019-08-12,Carlingford,2019-08-13
2019-08-12,Foyle ,2019-08-13
2019-08-12,Larne,2019-08-13
2019-08-19,Belfast,2019-08-19
2019-08-26,Belfast,2019-08-27
2019-08-26,Dundrum and Killough,2019-08-27
2019-08-26,Strangford,2019-08-27
2019-08-26,Carlingford,2019-08-28
2019-08-26,Foyle ,2019-08-28
2019-08-26,Larne,2019-08-28
2019-09-02,Belfast,2019-09-02
2019-09-02,Dundrum and Killough,2019-09-02
2019-09-09,Belfast,2019-09-09
2019-09-09,Strangford,2019-09-09
2019-09-09,Carlingford,2019-09-10
2019-09-09,Foyle ,2019-09-10
2019-09-09,Larne,2019-09-10
2019-09-16,Belfast,2019-09-16
2019-09-16,Dundrum and Killough,2019-09-16
2019-09-16,Larne,2019-09-17
2019-09-23,Belfast,2019-09-23
2019-09-23,Carlingford,2019-09-24
2019-09-23,Foyle ,2019-09-24
2019-09-23,Strangford,2019-09-24
2019-09-30,Belfast,2019-09-30
