WeekBeginning,Location,DateOfSample
2020-04-06,Strangford,2020-04-06
2020-04-06,Dundrum North,2020-04-07
2020-04-06,Killough,2020-04-07
2020-04-06,Larne,2020-04-07
2020-04-13,Belfast,2020-04-15
2020-04-13,Foyle,2020-04-16
2020-04-13,Carlingford,2020-04-16
2020-04-20,Strangford,2020-04-20
2020-04-20,Dundrum North,2020-04-20
2020-04-20,Killough,2020-04-20
2020-04-20,Larne,2020-04-21
2020-04-27,Belfast,2020-04-27
2020-04-27,Foyle,2020-04-28
2020-04-27,Carlingford,2020-04-28
2020-05-04,Strangford,2020-05-05
2020-05-11,Belfast,2020-05-11
2020-05-11,Dundrum North,2020-05-11
2020-05-11,Killough,2020-05-11
2020-05-11,Larne,2020-05-12
2020-05-11,Foyle,2020-05-12
2020-05-11,Carlingford,2020-05-12
2020-05-18,Strangford,2020-05-19
2020-05-25,Belfast,2020-05-26
2020-05-25,Dundrum North,2020-05-26
2020-05-25,Killough,2020-05-26
2020-05-25,Larne,2020-05-27
2020-05-25,Foyle,2020-05-27
2020-05-25,Carlingford,2020-05-27
2020-06-01,Strangford,2020-06-02
2020-06-08,Belfast,2020-06-08
2020-06-08,Dundrum North,2020-06-08
2020-06-08,Killough,2020-06-08
2020-06-08,Larne,2020-06-09
2020-06-08,Foyle,2020-06-09
2020-06-08,Carlingford,2020-06-09
2020-06-15,Strangford,2020-06-16
2020-06-22,Belfast,2020-06-22
2020-06-22,Dundrum North,2020-06-22
2020-06-22,Killough,2020-06-22
2020-06-22,Larne,2020-06-23
2020-06-22,Foyle,2020-06-23
2020-06-22,Carlingford,2020-06-23
2020-06-29,Strangford,2020-06-30
2020-06-29,Carlingford,2020-06-30
