WeekBeginning,Location,DateOfSample,NoOfSamples
2021-01-04,Strangford,2021-01-04,1
2021-01-04,Strangford,2021-01-05,1
2021-01-04,Foyle,2021-01-05,2
2021-01-11,Belfast,2021-01-11,4
2021-01-11,Dundrum,2021-01-11,1
2021-01-11,Killough,2021-01-11,1
2021-01-11,Larne,2021-01-12,1
2021-01-11,Carlingford,2021-01-12,7
2021-01-18,Strangford,2021-01-19,2
2021-01-18,Foyle,2021-01-19,2
2021-01-25,Belfast,2021-01-25,4
2021-01-25,Larne,2021-01-26,1
2021-01-25,Carlingford,2021-01-26,7
2021-01-25,Dundrum,2021-01-26,1
2021-01-25,Killough,2021-01-26,1
2021-02-01,Strangford,2021-02-01,1
2021-02-01,Strangford,2021-02-02,1
2021-02-01,Foyle,2021-02-02,2
2021-02-08,Belfast,2021-02-08,4
2021-02-08,Larne,2021-02-09,1
2021-02-08,Dundrum,2021-02-09,1
2021-02-08,Killough,2021-02-09,1
2021-02-08,Carlingford,2021-02-10,7
2021-02-15,Strangford,2021-02-16,2
2021-02-15,Foyle,2021-02-16,2
2021-02-22,Belfast,2021-02-22,4
2021-02-22,Larne,2021-02-23,1
2021-02-22,Dundrum,2021-02-23,1
2021-02-22,Killough,2021-02-23,1
2021-02-22,Carlingford,2021-02-24,7
2021-03-01,Strangford,2021-03-01,2
2021-03-01,Foyle,2021-03-02,2
2021-03-08,Belfast,2021-03-08,4
2021-03-08,Larne,2021-03-09,1
2021-03-08,Carlingford,2021-03-09,7
2021-03-08,Dundrum,2021-03-09,1
2021-03-08,Killough,2021-03-09,1
2021-03-15,Strangford,2021-03-16,2
2021-03-15,Foyle,2021-03-16,2
2021-03-22,Belfast,2021-03-22,4
2021-03-22,Larne,2021-03-23,1
2021-03-22,Carlingford,2021-03-23,7
2021-03-22,Dundrum,2021-03-22,1
2021-03-22,Killough,2021-03-22,1
2021-03-29,Strangford,2021-03-30,2
2021-03-29,Foyle,2021-03-30,2
