WeekBeginning,Location,DateOfSample
2020-07-06,Larne ,2020-07-07
2020-07-06,Strangford ,2020-07-06
2020-07-06,Dundrum N ,2020-07-06
2020-07-06,Killough,2020-07-06
2020-07-13,Belfast ,2020-07-15
2020-07-13,Foyle,2020-07-15
2020-07-13,Carlingford ,2020-07-15
2020-07-20,Larne ,2020-07-21
2020-07-20,Strangford ,2020-07-20
2020-07-20,Dundrum N ,2020-07-20
2020-07-20,Killough,2020-07-20
2020-07-27,Belfast ,2020-07-27
2020-07-27,Strangford ,2020-07-27
2020-07-27,Foyle ,2020-07-28
2020-07-27,Carlingford ,2020-07-28
2020-08-03,Larne ,2020-08-04
2020-08-03,Dundrum N  ,2020-08-03
2020-08-03,Killough,2020-08-03
2020-08-10,Belfast ,2020-08-10
2020-08-10,Strangford ,2020-08-11
2020-08-10,Foyle ,2020-08-11
2020-08-10,Carlingford ,2020-08-11
2020-08-17,Larne ,2020-08-18
2020-08-17,Dundrum N,2020-08-17
2020-08-17,Killough ,2020-08-17
2020-08-24,Belfast ,2020-08-24
2020-08-24,Strangford ,2020-08-25
2020-08-24,Foyle ,2020-08-25
2020-08-31,Larne ,2020-09-02
2020-08-31,Dundrum N  ,2020-09-02
2020-08-31,Killough,2020-09-02
2020-08-31,Carlingford ,2020-09-02
2020-09-07,Belfast ,2020-09-07
2020-09-07,Strangford ,2020-09-09
2020-09-14,Larne ,2020-09-15
2020-09-14,Strangford,2020-09-15
2020-09-14,Dundrum N ,2020-09-14
2020-09-14,Killough,2020-09-14
2020-09-14,Foyle ,2020-09-15
2020-09-14,Carlingford ,2020-09-15
2020-09-21,Belfast ,2020-09-21
2020-09-28,Larne ,2020-09-29
2020-09-28,Strangford,2020-09-28
2020-09-28,Dundrum N ,2020-09-28
2020-09-28,Killough,2020-09-28
2020-09-28,Foyle ,2020-09-29
2020-09-28,Carlingford ,2020-09-29
