WeekBeginning,Location,DateOfSample,NoOfSamples
2020-10-12,Belfast,2020-10-12,4
2020-10-12,Larne,2020-10-13,1
2020-10-12,Foyle,2020-10-13,2
2020-10-12,Strangford,2020-10-13,2
2020-10-12,Carlingford,2020-10-14,7
2020-10-12,Dundrum,2020-10-14,1
2020-10-12,Killough ,2020-10-14,1
2020-10-26,Belfast,2020-12-26,4
2020-10-26,Larne,2020-10-27,1
2020-10-26,Strangford,2020-10-27,2
2020-10-26,Foyle,2020-10-27,2
2020-10-26,Carlingford,2020-10-28,7
2020-10-26,Dundrum,2020-10-28,1
2020-10-26,Killough ,2020-10-28,1
2020-11-02,Larne,2020-11-04,1
2020-11-02,Dundrum,2020-11-02,1
2020-11-02,Killough ,2020-11-02,1
2020-11-09,Belfast,2020-11-09,4
2020-11-09,Larne,2020-11-10,1
2020-11-09,Strangford,2020-11-10,2
2020-11-09,Foyle,2020-11-10,2
2020-11-09,Carlingford ,2020-11-10,7
2020-11-16,Dundrum,2020-11-16,1
2020-11-16,Killough ,2020-11-16,1
2020-11-23,Belfast,2020-11-23,4
2020-11-23,Larne,2020-11-24,1
2020-11-23,Strangford,2020-11-24,2
2020-11-23,Carlingford ,2020-11-24,7
2020-11-30,Dundrum,2020-11-30,1
2020-11-30,Killough ,2020-11-30,1
2020-11-30,Foyle,2020-12-01,2
2020-12-07,Larne,2020-12-08,1
2020-12-07,Strangford,2020-12-08,2
2020-12-07,Carlingford,2020-12-08,7
2020-12-14,Belfast,2020-12-14,4
2020-12-14,Dundrum,2020-12-14,1
2020-12-14,Killough ,2020-12-14,1
2020-12-14,Foyle,2020-12-15,2
2020-12-21,Carlingford ,2020-12-22,7
2020-12-21,Strangford,2020-12-22,2
2020-12-28,Larne,2020-12-29,1
2020-12-28,Belfast,2020-12-29,4
2020-12-28,Dundrum,2020-12-29,1
2020-12-28,Killough ,2020-12-29,1
